ObservationPeriod;TOA;ClearSkyGHI;ClearSkyBHI;ClearSkyDHI;ClearSkyBNI;GHI;BHI;DHI;BNI;Reliability
2020-06-09T00:00:00.0/2020-06-09T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T01:00:00.0/2020-06-09T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T02:00:00.0/2020-06-09T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T03:00:00.0/2020-06-09T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T04:00:00.0/2020-06-09T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T05:00:00.0/2020-06-09T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T06:00:00.0/2020-06-09T07:00:00.0;158.3077;58.8016;16.9823;41.8193;98.9124;44.2296;2.9614;41.2683;14.3817;1.0000
2020-06-09T07:00:00.0/2020-06-09T08:00:00.0;464.1586;251.1011;131.6702;119.4309;362.9550;231.2711;125.4886;105.7825;335.2421;1.0000
2020-06-09T08:00:00.0/2020-06-09T09:00:00.0;738.3511;467.2310;300.7823;166.4488;534.6023;432.4471;292.5294;139.9176;520.6653;1.0000
2020-06-09T09:00:00.0/2020-06-09T10:00:00.0;962.2120;654.3038;461.7963;192.5075;632.8344;593.4658;429.6282;163.8375;589.0924;1.0000
2020-06-09T10:00:00.0/2020-06-09T11:00:00.0;1120.4872;790.0320;584.5958;205.4362;688.9359;694.2933;455.7173;238.5760;538.3460;1.0000
2020-06-09T11:00:00.0/2020-06-09T12:00:00.0;1202.3931;861.6633;652.0519;209.6113;716.4151;781.7738;531.3561;250.4177;584.3519;1.0000
2020-06-09T12:00:00.0/2020-06-09T13:00:00.0;1202.3522;862.8139;655.9081;206.9057;720.6935;777.7355;500.6911;277.0445;549.7828;1.0000
2020-06-09T13:00:00.0/2020-06-09T14:00:00.0;1120.3730;793.4136;595.3348;198.0789;701.7291;478.4822;127.8482;350.6341;147.6723;1.0000
2020-06-09T14:00:00.0/2020-06-09T15:00:00.0;962.0488;659.8093;477.9209;181.8883;655.2271;372.4339;79.6036;292.8303;111.5624;1.0000
2020-06-09T15:00:00.0/2020-06-09T16:00:00.0;738.1760;473.9740;317.9868;155.9872;565.6718;354.4277;125.7587;228.6691;229.1689;1.0000
2020-06-09T16:00:00.0/2020-06-09T17:00:00.0;464.0175;257.4473;144.2433;113.2039;398.8774;198.6453;64.7269;133.9184;174.8643;1.0000
2020-06-09T17:00:00.0/2020-06-09T18:00:00.0;158.2655;61.1727;19.9962;41.1765;117.4882;46.9688;3.3410;43.6279;16.3632;1.0000
2020-06-09T18:00:00.0/2020-06-09T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T19:00:00.0/2020-06-09T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T20:00:00.0/2020-06-09T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T21:00:00.0/2020-06-09T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T22:00:00.0/2020-06-09T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-09T23:00:00.0/2020-06-10T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
